O homem está ocupado.	O homem está ocupado.	0	False
Ela não virá.	Ela não virá.	0	False
Hoje eu cheguei cedo.	Hoje eu cheguei cedo.	0	False
Ele me disse que tudo estaria pronto após as três horas.	Ele me disse que tudo estaria pronto após as três horas.	0	False
Para descobrir se a vacina era eficaz contra as mutações, os pesquisadores da empresa usaram soros de oito participantes do ensaio clínico da primeira fase.	Para descobrir se a vacina era eficaz contra as mutações, os pesquisadores da empresa usaram soros de oito participantes do ensaio clínico da primeira fase.	0	False
Há trinta anos, ele era uma pessoa que sabia o que pretendia fazer no dia seguinte.	Há trinta anos, ele era uma pessoa que sabia o que pretendia fazer no dia seguinte.	0	False
Eu escrevi aqueles livros e aquelas cartas à caneta.	Eu escrevi aqueles livros e aquelas cartas à caneta.	0	False
A trama ganha contornos sombrios quando José, o novo locatário da granja, faz uma visita aos seus primos distantes.	A trama ganha contornos sombrios quando José, o novo locatário da granja, faz uma visita aos seus primos distantes.	0	False
No ensaísmo, destaca-se o largo espectro temático, com ênfase na literatura brasileira, ficção ou poesia, dos séculos XIX e XX.	No ensaísmo, destaca-se o largo espectro temático, com ênfase na literatura brasileira, ficção ou poesia, dos séculos XIX e XX.	0	False
O século XXI também se faz presente.	O século XXI também se faz presente.	0	False
Ao lado de pesquisas históricas, comparecem ensaios que enfrentam questões polêmicas.	Ao lado de pesquisas históricas, comparecem ensaios que enfrentam questões polêmicas.	0	False
A seção contempla igualmente revisões do cânone e textos na fronteira entre o ensaio e crônica.	A seção contempla igualmente revisões do cânone e textos na fronteira entre o ensaio e crônica.	0	False
Os seis poetas nos deixam entrever um denominador comum: apesar de bastante diferenciados, neles é perceptível a valorização técnica do poema.	Os seis poetas nos deixam entrever um denominador comum: apesar de bastante diferenciados, neles é perceptível a valorização técnica do poema.	0	False
Não por acaso, quase todos têm formação universitária, em oposição ao caráter mais “intuitivo”, espontâneo, de poetas de gerações passadas.	Não por acaso, quase todos têm formação universitária, em oposição ao caráter mais “intuitivo”, espontâneo, de poetas de gerações passadas.	0	False
Reafirmam a pujança de nossa poesia contemporânea, que, sintonizada com o presente, não abandona um diálogo crítico com o passado.	Reafirmam a pujança de nossa poesia contemporânea, que, sintonizada com o presente, não abandona um diálogo crítico com o passado.	0	False
Em 1931, a Biblioteca de Cultura Nacional passou a chamar-se Coleção Afrânio Peixoto, em homenagem ao seu idealizador e realizador.	Em 1931, a Biblioteca de Cultura Nacional passou a chamar-se Coleção Afrânio Peixoto, em homenagem ao seu idealizador e realizador.	0	False
A Academia Brasileira de Letras criou, preliminarmente, a Comissão de Lexicografia, que mais recentemente se ampliou nos propósitos com a Comissão de Lexicografia e Lexicologia.	A Academia Brasileira de Letras criou, preliminarmente, a Comissão de Lexicografia, que mais recentemente se ampliou nos propósitos com a Comissão de Lexicografia e Lexicologia.	0	False
Por lexicografia se entende a arte de fazer um dicionário e por lexicologia a ciência que estuda e descreve o léxico de uma língua.	Por lexicografia se entende a arte de fazer um dicionário e por lexicologia a ciência que estuda e descreve o léxico de uma língua.	0	False
O regime da comunhão parcial de bens é caracterizado pela separação de bens passados e pela comunhão de bens futuros.	O regime da comunhão parcial de bens é caracterizado pela separação de bens passados e pela comunhão de bens futuros.	1	True
Assim, os bens que cada cônjuge possuía antes do casamento continuam a fazer parte apenas do patrimônio individual.	Assim, os bens que cada cônjuge possuía antes do casamento continuam a fazer parte apenas do patrimônio individual.	0	False
Já os adquiridos na constância do casamento compõem o patrimônio em comum do casal.	Já os adquiridos na constância do casamento compõem o patrimônio em comum do casal.	0	False
As doações e os bens adquiridos com o patrimônio que já existia antes da união também são de propriedade individual de cada cônjuge.	As doações e os bens adquiridos com o patrimônio que já existia antes da união também são de propriedade individual de cada cônjuge.	0	False
Por outro lado, o regime da comunhão universal de bens tem a característica de tornar comuns todos os bens, independentemente de terem sido adquiridos antes ou após o matrimônio.	Por outro lado, o regime da comunhão universal de bens tem a característica de tornar comuns todos os bens, independentemente de terem sido adquiridos antes ou após o matrimônio.	0	False
Para algum bem não fazer parte da comunhão do casal, é necessário que a exclusão seja prevista em lei ou no pacto antenupcial.	Para algum bem não fazer parte da comunhão do casal, é necessário que a exclusão seja prevista em lei ou no pacto antenupcial.	0	False
O regime da separação de bens independe do pacto antenupcial, já que é o regime determinado por lei.	O regime da separação de bens independe do pacto antenupcial, já que é o regime determinado por lei.	0	False
Nesse regime, cada cônjuge possui a propriedade exclusiva dos próprios bens, independentemente da época em que os adquiriu.	Nesse regime, cada cônjuge possui a propriedade exclusiva dos próprios bens, independentemente da época em que os adquiriu.	0	False
